"","sub","item","cond","seq","Bnd_loc","tCross","tStarted","tCompleted","tChange","tActualChange","nextFlag","tNextFlag","tChangetoFixOnset"
"80",1,53,5,80,326,1147927,1147935,1147942,7,15,"EFIX",1147932,629
"81",1,54,6,81,535,1160684,1160687,1160694,7,10,"SFIX",1160692,2
"82",1,109,1,82,381,1175104,1175107,1175113,6,9,"SFIX",1175115,-2
"83",1,60,6,83,304,1184546,1184552,1184558,6,12,"SFIX",1184558,0
"84",1,108,6,84,326,1191062,1191069,1191075,6,13,"SFIX",1191071,4
"85",1,37,1,85,678,1199346,1199350,1199357,7,11,"SFIX",1199356,1
"86",1,64,4,86,623,1210042,1210050,1210057,7,15,"EFIX",1210043,456
"87",1,25,1,87,337,1214712,1214717,1214724,7,12,"SFIX",1214720,4
"88",1,104,2,88,601,1222887,1222894,1222901,7,14,"EFIX",1222887,555
"89",1,66,6,89,524,1231052,1231058,1231065,7,13,"SFIX",1231062,3
"90",1,87,3,90,524,1237395,1237399,1237405,6,10,"SFIX",1237406,-1
"91",1,89,5,91,700,1246579,1246582,1246589,7,10,"EFIX",1246581,502
"92",1,65,5,92,502,1251630,1251635,1251641,6,11,"SFIX",1251641,0
"93",1,112,4,93,216,1257532,1257537,1257544,7,12,"EFIX",1257534,621
"94",1,44,2,94,381,1265961,1265969,1265975,6,14,"EFIX",1265962,572
"95",1,57,3,95,381,1284601,1284604,1284611,7,10,"SFIX",1284610,1
"96",1,35,5,96,469,1290908,1290912,1290918,6,10,"EFIX",1290902,464
"97",1,33,3,97,502,1301324,1301331,1301337,6,13,"SFIX",1301333,4
"98",1,128,2,98,282,1315070,1315077,1315083,6,13,"SFIX",1315082,1
"99",1,113,5,99,513,1326274,1326280,1326287,7,13,"EFIX",1326277,583
"100",1,124,4,100,513,1333098,1333104,1333111,7,13,"SFIX",1333106,5
"101",1,41,5,101,348,1341234,1341242,1341249,7,15,"SFIX",1341246,3
"102",1,135,3,102,293,1352552,1352556,1352563,7,11,"SFIX",1352559,4
"103",1,90,6,103,238,1360629,1360635,1360642,7,13,"SFIX",1360639,3
"104",1,131,5,104,447,1367624,1367629,1367636,7,12,"SFIX",1367634,2
"105",1,126,6,105,469,1374518,1374525,1374532,7,14,"EFIX",1374522,303
"106",1,102,6,106,557,1381205,1381212,1381218,6,13,"EFIX",1381190,445
"107",1,34,4,107,425,1388152,1388160,1388167,7,15,"SFIX",1388162,5
"108",1,138,6,108,524,1397420,1397422,1397429,7,9,"EFIX",1397418,696
"109",1,39,3,109,436,1403455,1403462,1403468,6,13,"SFIX",1403462,6
"110",1,48,6,110,282,1414130,1414136,1414142,6,12,"SFIX",1414138,4
"111",1,130,4,111,535,1423590,1423594,1423600,6,10,"SFIX",1423600,0
"112",1,45,3,112,469,1433811,1433817,1433823,6,12,"SFIX",1433817,6
"113",1,17,5,113,315,1443305,1443308,1443314,6,9,"SFIX",1443315,-1
"114",1,56,2,114,480,1452478,1452485,1452491,6,13,"SFIX",1452486,5
"115",1,120,6,115,403,1458918,1458923,1458930,7,12,"SFIX",1458926,4
"116",1,99,3,116,194,1465542,1465545,1465551,6,9,"SFIX",1465549,2
"117",1,59,5,117,249,1475322,1475329,1475336,7,14,"EFIX",1475327,522
"118",1,55,1,118,579,1485832,1485834,1485840,6,8,"SFIX",1485844,-4
"119",1,29,5,119,480,1493320,1493324,1493331,7,11,"SFIX",1493331,0
"120",1,71,5,120,403,1511091,1511096,1511103,7,12,"SFIX",1511100,3
"121",1,63,3,121,403,1517085,1517090,1517097,7,12,"SFIX",1517090,7
"122",1,118,4,122,315,1523026,1523032,1523038,6,12,"SFIX",1523037,1
"123",1,133,1,123,392,1541321,1541327,1541334,7,13,"SFIX",1541328,6
"124",1,14,2,124,480,1547814,1547818,1547824,6,10,"SFIX",1547824,0
"125",1,9,3,125,667,1556918,1556923,1556930,7,12,"EFIX",1556918,535
"126",1,132,6,126,458,1565699,1565708,1565714,6,15,"SFIX",1565708,6
"127",1,81,3,127,700,1575111,1575114,1575120,6,9,"SFIX",1575117,3
"128",1,119,5,128,502,1584971,1584977,1584984,7,13,"EFIX",1584975,596
"129",1,78,6,129,546,1593828,1593834,1593841,7,13,"SFIX",1593840,1
"130",1,101,5,130,359,1601333,1601338,1601344,6,11,"SFIX",1601343,1
"131",1,47,5,131,425,1611789,1611796,1611803,7,14,"SFIX",1611798,5
"132",1,62,2,132,546,1622229,1622235,1622241,6,12,"SFIX",1622241,0
"133",1,23,5,133,370,1628584,1628588,1628595,7,11,"SFIX",1628598,-3
"134",1,10,4,134,656,1639561,1639569,1639576,7,15,"EFIX",1639566,576
"135",1,24,6,135,480,1657901,1657904,1657910,6,9,"SFIX",1657912,-2
"136",1,107,5,136,436,1669189,1669192,1669198,6,9,"SFIX",1669202,-4
"137",1,82,4,137,436,1679433,1679441,1679448,7,15,"EFIX",1679430,583
"138",1,116,2,138,414,1684378,1684383,1684389,6,11,"SFIX",1684386,3
