"","sub","item","seq","cond","nfix","deg"
"340",5,20,69,8,9,"0"
"341",5,21,25,1,8,"20"
"342",5,22,60,2,8,"0"
"343",5,23,1,3,7,"20"
"344",5,24,10,4,10,"0"
"345",5,25,68,5,9,"20"
"346",5,26,76,6,11,"0"
"347",5,27,80,7,13,"20"
"348",5,28,67,8,11,"0"
"349",5,29,74,1,10,"20"
"350",5,30,9,2,8,"0"
"351",5,31,43,3,13,"20"
"352",5,32,6,4,12,"0"
"353",5,33,46,5,8,"20"
"354",5,34,58,6,7,"0"
"355",5,35,35,7,8,"20"
"356",5,36,53,8,7,"0"
"357",5,37,40,1,14,"20"
"358",5,38,61,2,10,"0"
"359",5,39,59,3,9,"20"
"360",5,40,11,4,12,"0"
"361",5,41,79,5,14,"20"
"362",5,42,30,6,9,"0"
"363",5,43,2,7,9,"20"
"364",5,44,19,8,9,"0"
"365",5,45,7,1,8,"20"
"366",5,46,48,2,10,"0"
"367",5,47,71,3,6,"20"
"368",5,48,78,4,10,"0"
"369",5,49,62,5,8,"20"
"370",5,50,73,6,8,"0"
"371",5,51,14,7,10,"20"
"372",5,52,17,8,9,"0"
"373",5,53,8,1,9,"20"
"374",5,54,32,2,16,"0"
"375",5,55,57,3,10,"20"
"376",5,56,31,4,8,"0"
"377",5,57,18,5,8,"20"
"378",5,58,21,6,11,"0"
"379",5,59,56,7,7,"20"
"380",5,60,44,8,11,"0"
"381",5,61,24,1,8,"20"
"382",5,62,15,2,9,"0"
"383",5,63,5,3,11,"20"
"384",5,64,42,4,10,"0"
"385",5,65,29,5,8,"20"
"386",5,66,70,6,10,"0"
"387",5,67,47,7,10,"20"
"388",5,68,54,8,7,"0"
"389",5,69,41,1,13,"20"
"390",5,70,3,2,9,"0"
"391",5,71,63,3,7,"20"
"392",5,72,64,4,10,"0"
"393",5,73,26,5,9,"20"
"394",5,74,77,6,14,"0"
"395",5,75,66,7,11,"20"
"396",5,76,51,8,12,"0"
"397",5,77,65,1,9,"20"
"398",5,78,12,2,9,"0"
"399",5,79,52,3,8,"20"
"400",5,80,36,4,7,"0"
"401",6,1,57,6,7,"0"
"402",6,2,20,7,10,"20"
"403",6,3,37,8,10,"0"
"404",6,4,49,1,14,"20"
"405",6,5,25,2,9,"0"
"406",6,6,68,3,14,"20"
"407",6,7,63,4,11,"0"
"408",6,8,16,5,10,"20"
"409",6,9,46,6,10,"0"
"410",6,10,59,7,11,"20"
"411",6,11,64,8,8,"0"
"412",6,12,42,1,16,"20"
"413",6,13,35,2,12,"0"
"414",6,14,54,3,21,"20"
"415",6,15,60,4,11,"0"
"416",6,16,48,5,8,"20"
"417",6,17,67,6,17,"0"
"418",6,18,56,7,12,"20"
"419",6,19,43,8,13,"0"
"420",6,20,72,1,10,"20"
"421",6,21,8,2,13,"0"
"422",6,22,24,3,14,"20"
"423",6,23,44,4,7,"0"
"424",6,24,30,5,12,"20"
"425",6,25,65,6,10,"0"
"426",6,26,66,7,13,"20"
"427",6,27,27,8,12,"0"
"428",6,28,4,1,11,"20"
"429",6,29,61,2,11,"0"
"430",6,30,5,3,10,"20"
"431",6,31,52,4,15,"0"
"432",6,32,2,5,15,"20"
"433",6,33,15,6,10,"0"
"434",6,34,76,7,9,"20"
"435",6,35,51,8,12,"0"
"436",6,36,17,1,10,"20"
"437",6,37,29,2,12,"0"
"438",6,38,50,3,16,"20"
"439",6,39,33,4,11,"0"
"440",6,40,19,5,13,"20"
"441",6,41,12,6,10,"0"
"442",6,42,22,7,11,"20"
"443",6,43,6,8,8,"0"
"444",6,44,9,1,11,"20"
"445",6,45,73,2,7,"0"
"446",6,46,34,3,13,"20"
"447",6,47,71,4,9,"0"
"448",6,48,21,5,19,"20"
"449",6,49,47,6,7,"0"
"450",6,50,10,7,10,"20"
"451",6,51,11,8,10,"0"
"452",6,52,40,1,15,"20"
"453",6,53,36,2,15,"0"
"454",6,54,41,3,12,"20"
"455",6,55,38,4,10,"0"
"456",6,56,32,5,8,"20"
"457",6,57,79,6,9,"0"
"458",6,58,77,7,10,"20"
"459",6,59,39,8,13,"0"
"460",6,60,28,1,8,"20"
"461",6,61,31,2,12,"0"
"462",6,62,26,3,16,"20"
"463",6,63,1,4,11,"0"
"464",6,64,7,5,12,"20"
"465",6,65,23,6,11,"0"
"466",6,66,62,7,11,"20"
"467",6,67,58,8,8,"0"
"468",6,68,45,1,15,"20"
"469",6,69,80,2,8,"0"
"470",6,70,18,3,14,"20"
"471",6,71,78,4,10,"0"
"472",6,72,75,5,10,"20"
"473",6,73,74,6,13,"0"
"474",6,74,70,7,11,"20"
"475",6,75,55,8,13,"0"
"476",6,76,69,1,17,"20"
"477",6,77,14,2,9,"0"
"478",6,78,53,3,15,"20"
"479",6,79,3,4,10,"0"
"480",6,80,13,5,12,"20"
"481",7,1,48,7,7,"20"
"482",7,2,43,8,9,"0"
"483",7,3,26,1,9,"20"
"484",7,4,9,2,7,"0"
"485",7,5,28,3,7,"20"
"486",7,6,61,4,10,"0"
"487",7,7,71,5,19,"20"
"488",7,8,49,6,13,"0"
"489",7,9,55,7,13,"20"
"490",7,10,24,8,11,"0"
"491",7,11,63,1,7,"20"
"492",7,12,57,2,5,"0"
"493",7,13,6,3,15,"20"
"494",7,14,36,4,9,"0"
"495",7,15,66,5,7,"20"
"496",7,16,17,6,9,"0"
"497",7,17,80,7,11,"20"
"498",7,18,22,8,8,"0"
"499",7,19,54,1,12,"20"
"500",7,20,34,2,6,"0"
"501",7,21,41,3,12,"20"
"502",7,22,58,4,9,"0"
"503",7,23,25,5,8,"20"
"504",7,24,44,6,9,"0"
"505",7,25,56,7,11,"20"
"506",7,26,19,8,11,"0"
"507",7,27,30,1,9,"20"
"508",7,28,21,2,12,"0"
"509",7,29,12,3,27,"20"
"510",7,30,11,4,13,"0"
"511",7,31,51,5,21,"20"
"512",7,32,72,6,14,"0"
"513",7,33,38,7,7,"20"
"514",7,34,68,8,27,"0"
"515",7,35,2,1,11,"20"
"516",7,36,7,2,22,"0"
"517",7,37,16,3,10,"20"
"518",7,38,13,4,12,"0"
"519",7,39,47,5,13,"20"
"520",7,40,50,6,5,"0"
"521",7,41,77,7,10,"20"
"522",7,42,5,8,14,"0"
"523",7,43,75,1,5,"20"
"524",7,44,18,2,8,"0"
"525",7,45,37,3,9,"20"
"526",7,46,15,4,8,"0"
"527",7,47,74,5,7,"20"
"528",7,48,62,6,9,"0"
"529",7,49,32,7,9,"20"
"530",7,50,67,8,8,"0"
"531",7,51,3,1,24,"20"
"532",7,52,4,2,19,"0"
"533",7,53,23,3,16,"20"
"534",7,54,69,4,8,"0"
"535",7,55,29,5,6,"20"
"536",7,56,14,6,11,"0"
"537",7,57,46,7,15,"20"
"538",7,58,60,8,14,"0"
"539",7,59,53,1,8,"20"
