"","sub","item","cond","seq","word","wordID","FFD","SFD","GD","TVT","nfix1","nfix2","nfixAll","regress","skip_1st","skip_total","deg","prev"
"21522",12,19,6,100,6,"sweep",NA,NA,NA,NA,0,0,0,0,1,1,"20","mask"
"21538",12,20,1,127,10,"jerk",NA,NA,NA,NA,0,0,0,0,1,1,"0","valid"
"21551",12,21,2,40,9,"sneak",309,309,309,309,1,0,1,0,0,0,"0","orth"
"21565",12,22,3,49,10,"steam",362,362,362,362,1,0,1,0,0,0,"0","mask"
"21615",12,26,1,23,5,"sleek",229,229,229,229,1,0,1,0,0,0,"0","valid"
"21644",12,28,3,114,5,"veal",NA,NA,NA,231,0,1,1,1,1,0,"0","mask"
"21660",12,29,4,124,8,"cleave",226,226,226,226,1,0,1,0,0,0,"20","valid"
"21668",12,30,5,25,4,"bleach",205,205,205,205,1,0,1,0,0,0,"20","orth"
"21681",12,31,6,106,6,"shrew",458,458,458,458,1,0,1,0,0,0,"20","mask"
"21697",12,32,1,46,7,"slur",NA,NA,NA,NA,0,0,0,0,1,1,"0","valid"
"21729",12,34,3,109,7,"cold",NA,NA,NA,383,0,2,2,1,1,0,"0","mask"
"21744",12,35,4,7,8,"part",NA,NA,NA,NA,0,0,0,0,1,1,"20","valid"
"21757",12,36,5,36,7,"lisp",366,366,366,366,1,0,1,0,0,0,"20","orth"
"21773",12,37,6,81,11,"herd",NA,NA,NA,275,0,1,1,1,1,0,"20","mask"
"21784",12,38,1,69,8,"wild",NA,NA,NA,NA,0,0,0,0,1,1,"0","valid"
"21796",12,39,2,35,8,"talc",371,371,371,574,1,1,2,1,0,0,"0","orth"
"21811",12,40,3,116,10,"team",276,276,276,276,1,0,1,0,0,0,"0","mask"
"21849",12,43,6,84,4,"chain",172,NA,274,274,2,0,2,0,0,0,"20","mask"
"21863",12,44,1,98,7,"death",NA,NA,NA,NA,0,0,0,0,1,1,"0","valid"
"21877",12,45,2,78,8,"draft",417,417,417,417,1,0,1,0,0,0,"0","orth"
"21904",12,47,4,21,7,"ghost",NA,NA,NA,213,0,1,1,1,1,0,"20","valid"
"21915",12,48,5,72,5,"trust",253,253,253,253,1,0,1,0,0,0,"20","orth"
"21928",12,49,6,93,10,"spoon",436,436,436,676,1,1,2,1,0,0,"20","mask"
"21958",12,51,2,76,11,"knife",NA,NA,NA,NA,0,0,0,0,1,1,"0","orth"
"21967",12,52,3,92,6,"crack",NA,NA,NA,392,0,1,1,1,1,0,"0","mask"
"21980",12,53,4,82,6,"flask",NA,NA,NA,NA,0,0,0,0,1,1,"20","valid"
"21998",12,54,5,112,10,"cruise",NA,NA,NA,157,0,1,1,1,1,0,"20","orth"
"22036",12,57,2,37,7,"swerve",368,368,368,368,1,0,1,0,0,0,"0","orth"
"22116",12,62,1,54,9,"third",268,268,268,436,1,1,2,1,0,0,"0","valid"
"22128",12,63,2,38,8,"heave",230,230,230,230,1,0,1,0,0,0,"0","orth"
"22171",12,66,5,24,7,"hurl",302,302,302,493,1,1,2,1,0,0,"20","orth"
"22212",12,69,2,11,8,"tweed",NA,NA,NA,294,0,1,1,1,1,0,"0","orth"
"22240",12,71,4,45,7,"nerve",NA,NA,NA,NA,0,0,0,0,1,1,"20","valid"
"22250",12,72,5,94,5,"youth",150,NA,503,503,2,0,2,0,0,0,"20","orth"
"22262",12,73,6,99,7,"sleet",NA,NA,NA,508,0,2,2,1,1,0,"20","mask"
"22274",12,74,1,47,6,"coil",269,269,269,269,1,0,1,0,0,0,"0","valid"
"22304",12,76,3,66,7,"glean",353,353,353,526,1,1,2,1,0,0,"0","mask"
"22317",12,77,4,39,7,"tech",NA,NA,NA,NA,0,0,0,0,1,1,"20","valid"
"22345",12,79,6,85,10,"clean",243,243,243,243,1,0,1,0,0,0,"20","mask"
"22356",12,80,1,73,7,"nurse",NA,NA,NA,NA,0,0,0,0,1,1,"0","valid"
"22375",12,81,2,129,11,"cheat",NA,NA,NA,215,0,1,1,1,1,0,"0","orth"
"22388",12,82,3,6,9,"cheek",NA,NA,NA,249,0,1,1,1,1,0,"0","mask"
"22403",12,83,4,52,9,"cleat",151,NA,290,290,2,0,2,0,0,0,"20","valid"
"22416",12,84,5,118,7,"terse",313,313,313,573,1,1,2,1,0,0,"20","orth"
"22429",12,85,6,71,7,"fern",212,212,212,212,1,0,1,0,0,0,"20","mask"
"22442",12,86,1,5,5,"deal",163,163,163,163,1,0,1,0,0,0,"0","valid"
"22460",12,87,2,58,10,"sheen",NA,NA,NA,328,0,1,1,1,1,0,"0","orth"
"22502",12,90,5,128,5,"weep",NA,NA,NA,NA,0,0,0,0,1,1,"20","orth"
"22560",12,94,3,34,6,"gross",NA,NA,NA,317,0,1,1,1,1,0,"0","mask"
"22577",12,95,4,79,8,"whirl",NA,NA,NA,90,0,1,1,1,1,0,"20","valid"
"22591",12,96,5,97,6,"teal",NA,NA,NA,361,0,1,1,1,1,0,"20","orth"
"22630",12,99,2,108,4,"work",NA,NA,NA,306,0,1,1,1,1,0,"0","orth"
"22650",12,100,3,113,7,"dwarf",328,328,328,328,1,0,1,0,0,0,"0","mask"
"22661",12,101,4,13,5,"prove",NA,NA,NA,NA,0,0,0,0,1,1,"20","valid"
"22677",12,102,5,10,8,"churn",NA,NA,NA,NA,0,0,0,0,1,1,"20","orth"
"22729",12,106,3,102,7,"sash",312,312,312,312,1,0,1,0,0,0,"0","mask"
"22742",12,107,4,138,8,"spit",178,178,178,368,1,1,2,1,0,0,"20","valid"
"22756",12,108,5,101,6,"rake",NA,NA,NA,152,0,1,1,1,1,0,"20","orth"
"22771",12,109,6,130,6,"reap",NA,NA,NA,257,0,1,1,1,1,0,"20","mask"
"22798",12,111,2,133,6,"noon",NA,NA,NA,158,0,1,1,1,1,0,"0","orth"
"22810",12,112,3,12,4,"musk",168,NA,538,538,2,0,2,0,0,0,"0","mask"
"22827",12,113,4,134,8,"blast",NA,NA,NA,NA,0,0,0,0,1,1,"20","valid"
"22836",12,114,5,1,5,"brawl",262,262,262,262,1,0,1,0,0,0,"20","orth"
"22851",12,115,6,22,8,"chalk",159,159,159,159,1,0,1,0,0,0,"20","mask"
"22863",12,116,1,121,7,"claim",NA,NA,NA,NA,0,0,0,0,1,1,"0","valid"
"22875",12,117,2,19,6,"faint",287,287,287,287,1,0,1,0,0,0,"0","orth"
"22888",12,118,3,90,6,"flake",165,NA,784,784,2,0,2,0,0,0,"0","mask"
"22919",12,120,5,51,7,"frame",NA,NA,NA,NA,0,0,0,0,1,1,"20","orth"
"22933",12,121,6,137,8,"glade",NA,NA,NA,171,0,1,1,1,1,0,"20","mask"
"22945",12,122,1,61,6,"truth",300,300,300,300,1,0,1,0,0,0,"0","valid"
"22956",12,123,2,33,6,"trunk",NA,NA,NA,179,0,1,1,1,1,0,"0","orth"
"22974",12,124,3,48,8,"sweet",181,181,181,181,1,0,1,0,0,0,"0","mask"
"22984",12,125,4,3,4,"slate",165,NA,329,329,2,0,2,0,0,0,"20","valid"
"23001",12,126,5,29,9,"strut",192,192,192,192,1,0,1,0,0,0,"20","orth"
"23015",12,127,6,32,9,"speed",160,NA,323,323,2,0,2,0,0,0,"20","mask"
"23024",12,128,1,28,4,"pulse",NA,NA,NA,NA,0,0,0,0,1,1,"0","valid"
"23040",12,129,2,59,5,"prone",166,NA,354,354,2,0,2,0,0,0,"0","orth"
"23060",12,130,3,74,12,"marsh",269,269,269,356,1,1,2,1,0,0,"0","mask"
"23100",12,133,6,63,8,"drive",NA,NA,NA,NA,0,0,0,0,1,1,"20","mask"
"23113",12,134,1,96,6,"flinch",221,221,221,365,1,1,2,1,0,0,"0","valid"
"23129",12,135,2,57,6,"clench",269,269,269,400,1,1,2,1,0,0,"0","orth"
"23158",12,137,4,15,5,"slouch",NA,NA,NA,NA,0,0,0,0,1,1,"20","valid"
"23189",13,1,1,123,8,"hurt",NA,NA,NA,NA,0,0,0,0,1,1,"0","valid"
"23201",13,2,2,79,6,"type",210,210,210,210,1,0,1,0,0,0,"0","orth"
"23216",13,3,3,126,5,"dirt",232,232,232,232,1,0,1,0,0,0,"0","mask"
"23234",13,4,4,23,8,"purse",205,205,205,422,1,1,2,1,0,0,"20","valid"
"23251",13,5,5,4,9,"stern",216,216,216,216,1,0,1,0,0,0,"20","orth"
"23266",13,6,6,12,8,"merge",233,233,233,233,1,0,1,0,0,0,"20","mask"
"23279",13,7,1,83,8,"surge",289,289,289,289,1,0,1,0,0,0,"0","valid"
"23297",13,8,2,21,12,"church",203,203,203,203,1,0,1,0,0,0,"0","orth"
"23316",13,9,3,100,14,"burp",166,166,166,166,1,0,1,0,0,0,"0","mask"
"23330",13,10,4,88,11,"noun",NA,NA,NA,NA,0,0,0,0,1,1,"20","valid"
"23341",13,11,5,13,5,"skirt",181,NA,332,332,2,0,2,0,0,0,"20","orth"
"23360",13,12,6,124,11,"serve",217,217,217,217,1,0,1,0,0,0,"20","mask"
"23369",13,13,1,36,5,"worst",182,182,182,182,1,0,1,0,0,0,"0","valid"
"23388",13,14,2,101,8,"purge",314,314,314,314,1,0,1,0,0,0,"0","orth"
"23398",13,15,3,55,4,"term",173,173,173,173,1,0,1,0,0,0,"0","mask"
"23417",13,16,4,16,11,"twirl",183,183,183,183,1,0,1,0,0,0,"20","valid"
"23457",13,19,1,52,6,"sweep",218,218,218,218,1,0,1,0,0,0,"0","valid"
"23474",13,20,2,39,10,"jerk",224,224,224,224,1,0,1,0,0,0,"0","orth"
"23487",13,21,3,10,9,"sneak",NA,NA,NA,NA,0,0,0,0,1,1,"0","mask"
"23501",13,22,4,112,10,"steam",169,169,169,169,1,0,1,0,0,0,"20","valid"
"23511",13,23,5,47,5,"beef",222,222,222,222,1,0,1,0,0,0,"20","orth"
"23524",13,24,6,1,6,"burst",236,236,236,236,1,0,1,0,0,0,"20","mask"
"23536",13,25,1,92,5,"bleak",261,261,261,261,1,0,1,0,0,0,"0","valid"
"23551",13,26,2,73,5,"sleek",208,208,208,208,1,0,1,0,0,0,"0","orth"
"23579",13,28,4,91,5,"veal",NA,NA,NA,NA,0,0,0,0,1,1,"20","valid"
"23595",13,29,5,98,8,"cleave",239,239,239,239,1,0,1,0,0,0,"20","orth"
"23604",13,30,6,96,4,"bleach",236,236,236,236,1,0,1,0,0,0,"20","mask"
"23633",13,32,2,24,7,"slur",219,219,219,219,1,0,1,0,0,0,"0","orth"
"23651",13,33,3,78,9,"bush",218,218,218,218,1,0,1,0,0,0,"0","mask"
"23665",13,34,4,75,7,"cold",NA,NA,NA,NA,0,0,0,0,1,1,"20","valid"
"23680",13,35,5,94,8,"part",193,193,193,193,1,0,1,0,0,0,"20","orth"
"23692",13,36,6,17,7,"lisp",231,231,231,231,1,0,1,0,0,0,"20","mask"
"23708",13,37,1,118,11,"herd",NA,NA,NA,NA,0,0,0,0,1,1,"0","valid"
"23719",13,38,2,134,8,"wild",166,166,166,166,1,0,1,0,0,0,"0","orth"
"23731",13,39,3,72,8,"talc",209,209,209,209,1,0,1,0,0,0,"0","mask"
"23760",13,41,5,44,6,"step",229,229,229,229,1,0,1,0,0,0,"20","orth"
"23776",13,42,6,20,8,"blunt",228,228,228,228,1,0,1,0,0,0,"20","mask"
"23785",13,43,1,85,4,"chain",257,257,257,257,1,0,1,0,0,0,"0","valid"
"23799",13,44,2,121,7,"death",204,204,204,204,1,0,1,0,0,0,"0","orth"
"23813",13,45,3,18,8,"draft",271,271,271,271,1,0,1,0,0,0,"0","mask"
"23841",13,47,5,117,7,"ghost",185,185,185,185,1,0,1,0,0,0,"20","orth"
"23851",13,48,6,120,5,"trust",211,211,211,211,1,0,1,0,0,0,"20","mask"
"23865",13,49,1,93,10,"spoon",198,198,198,198,1,0,1,0,0,0,"0","valid"
"23879",13,50,2,107,8,"clone",182,182,182,182,1,0,1,0,0,0,"0","orth"
"23918",13,53,5,33,6,"flask",323,323,323,323,1,0,1,0,0,0,"20","orth"
"23935",13,54,6,95,10,"cruise",231,231,231,231,1,0,1,0,0,0,"20","mask"
"23948",13,55,1,15,9,"flirt",201,201,201,201,1,0,1,0,0,0,"0","valid"
"23959",13,56,2,28,8,"mirth",355,355,355,355,1,0,1,0,0,0,"0","orth"
"23973",13,57,3,115,7,"swerve",217,217,217,217,1,0,1,0,0,0,"0","mask"
"23989",13,58,4,103,7,"swirl",169,169,169,169,1,0,1,0,0,0,"20","valid"
"24002",13,59,5,119,6,"smirk",195,195,195,195,1,0,1,0,0,0,"20","orth"
"24018",13,60,6,127,5,"speak",224,224,224,224,1,0,1,0,0,0,"20","mask"
"24039",13,61,1,81,10,"fleece",160,160,160,291,1,1,2,1,0,0,"0","valid"
"24053",13,62,2,97,9,"third",233,233,233,233,1,0,1,0,0,0,"0","orth"
"24065",13,63,3,64,8,"heave",260,260,260,260,1,0,1,0,0,0,"0","mask"
"24082",13,64,4,63,11,"turf",NA,NA,NA,NA,0,0,0,0,1,1,"20","valid"
"24108",13,66,6,60,7,"hurl",NA,NA,NA,NA,0,0,0,0,1,1,"20","mask"
"24121",13,67,1,84,7,"glee",315,315,315,315,1,0,1,0,0,0,"0","valid"
"24137",13,68,2,42,11,"gleam",292,292,292,292,1,0,1,0,0,0,"0","orth"
"24162",13,71,5,125,7,"nerve",251,251,251,251,1,0,1,0,0,0,"20","orth"
"24172",13,72,6,113,5,"youth",172,NA,341,341,2,0,2,0,0,0,"20","mask"
"24196",13,74,2,122,6,"coil",238,238,238,238,1,0,1,0,0,0,"0","orth"
"24226",13,76,4,48,7,"glean",211,211,211,211,1,0,1,0,0,0,"20","valid"
"24239",13,77,5,90,7,"tech",NA,NA,NA,NA,0,0,0,0,1,1,"20","orth"
"24267",13,79,1,66,10,"clean",NA,NA,NA,NA,0,0,0,0,1,1,"0","valid"
"24280",13,80,2,105,7,"nurse",274,274,274,274,1,0,1,0,0,0,"0","orth"
"24299",13,81,3,46,11,"cheat",189,189,189,189,1,0,1,0,0,0,"0","mask"
"24312",13,82,4,99,9,"cheek",211,211,211,211,1,0,1,0,0,0,"20","valid"
"24326",13,83,5,54,9,"cleat",139,139,139,139,1,0,1,0,0,0,"20","orth"
"24340",13,84,6,110,7,"terse",224,224,224,224,1,0,1,0,0,0,"20","mask"
"24353",13,85,1,106,7,"fern",381,381,381,381,1,0,1,0,0,0,"0","valid"
"24366",13,86,2,53,5,"deal",246,246,246,425,1,1,2,1,0,0,"0","orth"
"24384",13,87,3,82,10,"sheen",289,289,289,289,1,0,1,0,0,0,"0","mask"
"24402",13,88,4,128,12,"lynx",136,136,136,136,1,0,1,0,0,0,"20","valid"
"24416",13,89,5,8,10,"cease",156,156,156,156,1,0,1,0,0,0,"20","orth"
"24426",13,90,6,80,5,"weep",194,194,194,194,1,0,1,0,0,0,"20","mask"
"24439",13,91,1,25,5,"meek",170,170,170,339,1,1,2,1,0,0,"0","valid"
"24457",13,92,2,40,9,"keep",279,279,279,279,1,0,1,0,0,0,"0","orth"
"24473",13,93,3,135,9,"neat",NA,NA,NA,NA,0,0,0,0,1,1,"0","mask"
"24501",13,95,5,133,8,"whirl",212,212,212,212,1,0,1,0,0,0,"20","orth"
"24547",13,98,2,31,10,"seethe",317,317,317,317,1,0,1,0,0,0,"0","orth"
"24554",13,99,3,19,4,"work",242,242,242,242,1,0,1,0,0,0,"0","mask"
"24574",13,100,4,49,7,"dwarf",241,241,241,241,1,0,1,0,0,0,"20","valid"
"24585",13,101,5,70,5,"prove",192,192,192,192,1,0,1,0,0,0,"20","orth"
"24601",13,102,6,138,8,"churn",NA,NA,NA,NA,0,0,0,0,1,1,"20","mask"
"24613",13,103,1,104,8,"bump",222,222,222,222,1,0,1,0,0,0,"0","valid"
"24654",13,106,4,29,7,"sash",218,218,218,218,1,0,1,0,0,0,"20","valid"
"24712",13,110,2,111,7,"plum",268,268,268,268,1,0,1,0,0,0,"0","orth"
"24724",13,111,3,61,6,"noon",303,303,303,303,1,0,1,0,0,0,"0","mask"
"24763",13,114,6,89,5,"brawl",295,295,295,295,1,0,1,0,0,0,"20","mask"
"24777",13,115,1,132,8,"chalk",244,244,244,344,1,1,2,1,0,0,"0","valid"
"24788",13,116,2,41,7,"claim",171,NA,374,374,2,0,2,0,0,0,"0","orth"
"24800",13,117,3,65,6,"faint",292,292,292,292,1,0,1,0,0,0,"0","mask"
"24813",13,118,4,35,6,"flake",272,272,272,272,1,0,1,0,0,0,"20","valid"
"24831",13,119,5,114,9,"flood",213,213,213,213,1,0,1,0,0,0,"20","orth"
"24845",13,120,6,50,7,"frame",168,168,168,168,1,0,1,0,0,0,"20","mask"
"24859",13,121,1,57,8,"glade",410,410,410,410,1,0,1,0,0,0,"0","valid"
"24871",13,122,2,137,6,"truth",242,242,242,242,1,0,1,0,0,0,"0","orth"
"24881",13,123,3,6,6,"trunk",106,106,106,405,1,1,2,1,0,0,"0","mask"
"24899",13,124,4,102,8,"sweet",151,NA,367,367,2,0,2,0,0,0,"20","valid"
"24926",13,126,6,27,9,"strut",265,265,265,265,1,0,1,0,0,0,"20","mask"
"24940",13,127,1,26,9,"speed",191,191,191,191,1,0,1,0,0,0,"0","valid"
"24949",13,128,2,56,4,"pulse",218,NA,364,364,2,0,2,0,0,0,"0","orth"
"24965",13,129,3,131,5,"prone",370,370,370,370,1,0,1,0,0,0,"0","mask"
"24984",13,130,4,129,12,"marsh",220,220,220,220,1,0,1,0,0,0,"20","valid"
"25012",13,132,6,30,7,"plate",163,NA,327,327,2,0,2,0,0,0,"20","mask"
"25023",13,133,1,109,8,"drive",277,277,277,277,1,0,1,0,0,0,"0","valid"
"25037",13,134,2,77,6,"flinch",239,239,239,239,1,0,1,0,0,0,"0","orth"
"25053",13,135,3,130,6,"clench",367,367,367,367,1,0,1,0,0,0,"0","mask"
"25071",13,136,4,43,7,"client",222,222,222,222,1,0,1,0,0,0,"20","valid"
"25113",14,1,2,10,8,"hurt",182,182,182,182,1,0,1,0,0,0,"0","orth"
"25124",14,2,3,28,6,"type",227,227,227,227,1,0,1,0,0,0,"0","mask"
"25139",14,3,4,109,5,"dirt",221,221,221,221,1,0,1,0,0,0,"20","valid"
"25156",14,4,5,72,8,"purse",236,236,236,236,1,0,1,0,0,0,"20","orth"
"25173",14,5,6,66,9,"stern",251,251,251,251,1,0,1,0,0,0,"20","mask"
"25188",14,6,1,76,8,"merge",146,NA,299,299,2,0,2,0,0,0,"0","valid"
"25201",14,7,2,93,8,"surge",NA,NA,NA,186,0,1,1,1,1,0,"0","orth"
"25217",14,8,3,79,12,"church",149,NA,283,283,2,0,2,0,0,0,"0","mask"
"25236",14,9,4,81,14,"burp",207,207,207,207,1,0,1,0,0,0,"20","valid"
"25250",14,10,5,61,11,"noun",275,NA,365,365,2,0,2,0,0,0,"20","orth"
"25261",14,11,6,59,5,"skirt",268,NA,366,366,2,0,2,0,0,0,"20","mask"
"25281",14,12,1,34,11,"serve",192,192,192,192,1,0,1,0,0,0,"0","valid"
"25290",14,13,2,25,5,"worst",214,214,214,214,1,0,1,0,0,0,"0","orth"
"25309",14,14,3,21,8,"purge",269,269,269,429,1,1,2,1,0,0,"0","mask"
"25319",14,15,4,75,4,"term",202,202,202,202,1,0,1,0,0,0,"20","valid"
"25336",14,16,5,57,11,"twirl",355,355,355,355,1,0,1,0,0,0,"20","orth"
"25348",14,17,6,86,6,"plea",226,226,226,226,1,0,1,0,0,0,"20","mask"
"25375",14,19,2,130,6,"sweep",181,181,181,181,1,0,1,0,0,0,"0","orth"
"25389",14,20,3,90,10,"jerk",NA,NA,NA,NA,0,0,0,0,1,1,"0","mask"
"25401",14,21,4,45,9,"sneak",100,100,100,100,1,0,1,0,0,0,"20","valid"
"25415",14,22,5,128,10,"steam",222,222,222,547,1,1,2,1,0,0,"20","orth"
"25425",14,23,6,65,5,"beef",329,329,329,329,1,0,1,0,0,0,"20","mask"
"25438",14,24,1,56,6,"burst",173,173,173,173,1,0,1,0,0,0,"0","valid"
"25449",14,25,2,24,5,"bleak",179,179,179,179,1,0,1,0,0,0,"0","orth"
"25479",14,27,4,64,5,"steep",252,252,252,252,1,0,1,0,0,0,"20","valid"
"25493",14,28,5,52,5,"veal",197,197,197,197,1,0,1,0,0,0,"20","orth"
"25508",14,29,6,53,8,"cleave",199,NA,373,373,2,0,2,0,0,0,"20","mask"
"25530",14,31,2,132,6,"shrew",239,239,239,239,1,0,1,0,0,0,"0","orth"
"25545",14,32,3,50,7,"slur",349,349,349,349,1,0,1,0,0,0,"0","mask"
"25562",14,33,4,95,9,"bush",151,151,151,284,1,1,2,1,0,0,"20","valid"
"25576",14,34,5,5,7,"cold",234,234,234,234,1,0,1,0,0,0,"20","orth"
"25604",14,36,1,42,7,"lisp",171,171,171,171,1,0,1,0,0,0,"0","valid"
"25631",14,38,3,78,8,"wild",252,252,252,252,1,0,1,0,0,0,"0","mask"
"25643",14,39,4,4,8,"talc",317,317,317,317,1,0,1,0,0,0,"20","valid"
"25658",14,40,5,62,10,"team",243,243,243,243,1,0,1,0,0,0,"20","orth"
"25672",14,41,6,135,6,"step",NA,NA,NA,NA,0,0,0,0,1,1,"20","mask"
"25688",14,42,1,73,8,"blunt",NA,NA,NA,NA,0,0,0,0,1,1,"0","valid"
"25697",14,43,2,69,4,"chain",175,175,175,175,1,0,1,0,0,0,"0","orth"
"25711",14,44,3,20,7,"death",233,233,233,233,1,0,1,0,0,0,"0","mask"
"25725",14,45,4,41,8,"draft",221,221,221,221,1,0,1,0,0,0,"20","valid"
"25735",14,46,5,118,5,"fifth",307,307,307,307,1,0,1,0,0,0,"20","orth"
"25752",14,47,6,125,7,"ghost",298,298,298,298,1,0,1,0,0,0,"20","mask"
"25763",14,48,1,89,5,"trust",171,171,171,171,1,0,1,0,0,0,"0","valid"
"25776",14,49,2,30,10,"spoon",268,268,268,268,1,0,1,0,0,0,"0","orth"
"25790",14,50,3,6,8,"clone",296,296,296,296,1,0,1,0,0,0,"0","mask"
"25807",14,51,4,129,11,"knife",216,216,216,216,1,0,1,0,0,0,"20","valid"
"25816",14,52,5,38,6,"crack",224,224,224,224,1,0,1,0,0,0,"20","orth"
"25829",14,53,6,27,6,"flask",247,247,247,247,1,0,1,0,0,0,"20","mask"
"25847",14,54,1,121,10,"cruise",182,182,182,182,1,0,1,0,0,0,"0","valid"
"25860",14,55,2,115,9,"flirt",98,98,98,289,1,1,2,1,0,0,"0","orth"
"25884",14,57,4,77,7,"swerve",291,291,291,291,1,0,1,0,0,0,"20","valid"
"25900",14,58,5,71,7,"swirl",206,206,206,206,1,0,1,0,0,0,"20","orth"
"25913",14,59,6,101,6,"smirk",292,292,292,292,1,0,1,0,0,0,"20","mask"
"25964",14,62,3,46,9,"third",289,289,289,289,1,0,1,0,0,0,"0","mask"
"25976",14,63,4,133,8,"heave",279,279,279,279,1,0,1,0,0,0,"20","valid"
"25993",14,64,5,80,11,"turf",243,243,243,243,1,0,1,0,0,0,"20","orth"
"26005",14,65,6,43,8,"teeth",184,184,184,184,1,0,1,0,0,0,"20","mask"
"26019",14,66,1,134,7,"hurl",175,175,175,175,1,0,1,0,0,0,"0","valid"
"26049",14,68,3,113,11,"gleam",222,222,222,222,1,0,1,0,0,0,"0","mask"
"26062",14,69,4,60,8,"tweed",274,274,274,274,1,0,1,0,0,0,"20","valid"
"26080",14,70,5,83,13,"lynch",NA,NA,NA,86,0,1,1,1,1,0,"20","orth"
"26090",14,71,6,18,7,"nerve",218,218,218,218,1,0,1,0,0,0,"20","mask"
"26100",14,72,1,11,5,"youth",246,246,246,246,1,0,1,0,0,0,"0","valid"
"26112",14,73,2,99,7,"sleet",157,157,157,425,1,1,2,1,0,0,"0","orth"
"26123",14,74,3,35,6,"coil",NA,NA,NA,NA,0,0,0,0,1,1,"0","mask"
"26136",14,75,4,127,4,"dean",NA,NA,NA,187,0,1,1,1,1,0,"20","valid"
"26153",14,76,5,136,7,"glean",191,191,191,191,1,0,1,0,0,0,"20","orth"
"26166",14,77,6,94,7,"tech",NA,NA,NA,NA,0,0,0,0,1,1,"20","mask"
"26181",14,78,1,117,8,"thirst",236,236,236,236,1,0,1,0,0,0,"0","valid"
"26193",14,79,2,58,10,"clean",178,NA,258,258,2,0,2,0,0,0,"0","orth"
"26225",14,81,4,32,11,"cheat",215,215,215,215,1,0,1,0,0,0,"20","valid"
"26265",14,84,1,31,7,"terse",202,202,202,440,1,1,2,1,0,0,"0","valid"
"26278",14,85,2,85,7,"fern",183,183,183,183,1,0,1,0,0,0,"0","orth"
"26291",14,86,3,68,5,"deal",NA,NA,NA,NA,0,0,0,0,1,1,"0","mask"
"26327",14,88,5,88,12,"lynx",377,377,377,377,1,0,1,0,0,0,"20","orth"
"26341",14,89,6,97,10,"cease",251,251,251,456,1,1,2,1,0,0,"20","mask"
"26351",14,90,1,36,5,"weep",229,229,229,229,1,0,1,0,0,0,"0","valid"
"26364",14,91,2,92,5,"meek",315,315,315,315,1,0,1,0,0,0,"0","orth"
"26397",14,93,4,126,9,"neat",NA,NA,NA,NA,0,0,0,0,1,1,"20","valid"
"26425",14,95,6,114,8,"whirl",205,205,205,205,1,0,1,0,0,0,"20","mask"
"26439",14,96,1,29,6,"teal",210,210,210,210,1,0,1,0,0,0,"0","valid"
"26471",14,98,3,120,10,"seethe",149,NA,543,543,3,0,3,0,0,0,"0","mask"
"26478",14,99,4,44,4,"work",269,269,269,269,1,0,1,0,0,0,"20","valid"
"26497",14,100,5,49,7,"dwarf",275,275,275,275,1,0,1,0,0,0,"20","orth"
"26508",14,101,6,98,5,"prove",224,224,224,224,1,0,1,0,0,0,"20","mask"
"26524",14,102,1,137,8,"churn",235,235,235,235,1,0,1,0,0,0,"0","valid"
"26536",14,103,2,54,8,"bump",200,200,200,200,1,0,1,0,0,0,"0","orth"
"26553",14,104,3,40,11,"nine",348,348,348,348,1,0,1,0,0,0,"0","mask"
"26565",14,105,4,70,6,"horn",200,NA,361,361,2,0,2,0,0,0,"20","valid"
"26577",14,106,5,116,7,"sash",NA,NA,NA,NA,0,0,0,0,1,1,"20","orth"
"26590",14,107,6,9,8,"spit",345,345,345,345,1,0,1,0,0,0,"20","mask"
"26604",14,108,1,19,6,"rake",232,232,232,232,1,0,1,0,0,0,"0","valid"
"26618",14,109,2,7,6,"reap",338,338,338,338,1,0,1,0,0,0,"0","orth"
"26646",14,111,4,8,6,"noon",212,212,212,212,1,0,1,0,0,0,"20","valid"
"26660",14,112,5,119,4,"musk",NA,NA,NA,NA,0,0,0,0,1,1,"20","orth"
"26677",14,113,6,39,8,"blast",200,200,200,200,1,0,1,0,0,0,"20","mask"
"26686",14,114,1,47,5,"brawl",246,246,246,246,1,0,1,0,0,0,"0","valid"
"26701",14,115,2,104,8,"chalk",196,196,196,555,1,2,3,1,0,0,"0","orth"
"26713",14,116,3,87,7,"claim",138,NA,248,438,2,1,3,1,0,0,"0","mask"
"26725",14,117,4,74,6,"faint",286,286,286,286,1,0,1,0,0,0,"20","valid"
"26756",14,119,6,51,9,"flood",213,NA,389,389,2,0,2,0,0,0,"20","mask"
"26782",14,121,2,13,8,"glade",268,268,268,268,1,0,1,0,0,0,"0","orth"
"26793",14,122,3,108,6,"truth",243,243,243,243,1,0,1,0,0,0,"0","mask"
"26804",14,123,4,14,6,"trunk",336,336,336,336,1,0,1,0,0,0,"20","valid"
"26822",14,124,5,102,8,"sweet",214,214,214,214,1,0,1,0,0,0,"20","orth"
"26832",14,125,6,96,4,"slate",270,NA,396,396,2,0,2,0,0,0,"20","mask"
"26849",14,126,1,107,9,"strut",285,285,285,285,1,0,1,0,0,0,"0","valid"
"26863",14,127,2,63,9,"speed",184,184,184,184,1,0,1,0,0,0,"0","orth"
"26872",14,128,3,2,4,"pulse",257,257,257,257,1,0,1,0,0,0,"0","mask"
