"","subj","cond","item","start","end","duration_ms","duration_s","deg"
"914",5,5,49,8899651,8904639,4988,5,"20"
"1014",5,6,2,8906745,8912024,5279,5.3,"0"
"123",5,5,9,8918418,8926059,7641,7.6,"20"
"144",5,4,80,8932013,8936222,4209,4.2,"0"
"151",5,6,50,8938159,8941682,3523,3.5,"0"
"163",5,7,35,8943630,8948674,5044,5,"20"
"172",5,1,37,8951124,8955261,4137,4.1,"20"
"184",5,8,52,8957668,8962477,4809,4.8,"0"
"191",5,5,73,8967378,8972060,4682,4.7,"20"
"204",5,6,34,8973941,8978958,5017,5,"0"
"211",5,2,54,8982431,8987190,4759,4.8,"0"
"223",5,4,32,8989274,8995990,6716,6.7,"0"
"242",5,2,46,9005995,9011105,5110,5.1,"0"
"253",5,5,41,9012967,9017142,4175,4.2,"20"
"262",5,8,76,9019043,9022404,3361,3.4,"0"
"274",5,4,64,9024450,9027763,3313,3.3,"0"
"282",5,3,63,9029732,9034652,4920,4.9,"20"
"293",5,5,33,9036481,9040297,3816,3.8,"20"
"302",5,4,40,9042248,9046470,4222,4.2,"0"
"313",5,3,79,9048379,9055136,6757,6.8,"20"
"322",5,2,38,9057049,9063423,6374,6.4,"0"
"333",5,8,28,9065240,9069167,3927,3.9,"0"
"353",5,3,39,9075497,9081583,6086,6.1,"20"
"364",5,6,58,9083928,9088498,4570,4.6,"0"
"372",5,1,77,9090416,9097144,6728,6.7,"20"
"384",5,4,24,9098887,9103055,4168,4.2,"0"
"402",5,1,21,9108612,9113949,5337,5.3,"20"
"422",5,4,48,9119533,9125903,6370,6.4,"0"
"432",5,8,68,9128256,9132219,3963,4,"0"
"442",5,8,20,9134142,9138410,4268,4.3,"0"
"463",5,7,27,9144284,9150116,5832,5.8,"20"
"483",5,3,47,9157070,9160963,3893,3.9,"20"
"492",5,1,29,9162739,9169443,6704,6.7,"20"
"513",5,7,43,9176267,9181556,5289,5.3,"20"
"522",5,8,60,9183397,9187742,4345,4.3,"0"
"534",5,7,19,9189791,9193797,4006,4,"20"
"554",5,8,4,9201781,9206102,4321,4.3,"0"
"574",5,4,8,9210999,9215407,4408,4.4,"0"
"593",5,3,7,9220813,9225843,5030,5,"20"
"612",5,6,66,9233944,9240453,6509,6.5,"0"
"624",5,4,72,9242494,9249455,6961,7,"0"
"63",5,2,22,9251383,9255311,3928,3.9,"0"
"652",5,1,45,9260528,9264260,3732,3.7,"20"
"664",5,6,18,9266107,9272545,6438,6.4,"0"
"683",5,1,53,9282034,9287457,5423,5.4,"20"
"691",5,7,59,9289429,9297762,8333,8.3,"20"
"704",5,4,16,9299597,9303255,3658,3.7,"0"
"724",5,1,13,9308696,9314158,5462,5.5,"20"
"744",5,5,17,9319248,9325513,6265,6.3,"20"
"761",5,6,74,9330883,9337130,6247,6.2,"0"
"773",5,7,3,9339178,9343631,4453,4.5,"20"
"794",5,3,31,9348697,9354772,6075,6.1,"20"
"813",5,5,25,9360458,9363973,3515,3.5,"20"
"833",5,8,44,9368662,9374436,5774,5.8,"0"
"843",5,3,55,9376274,9381025,4751,4.8,"20"
"853",5,2,30,9382722,9386437,3715,3.7,"0"
"874",5,7,75,9391630,9397381,5751,5.8,"20"
"883",5,1,61,9399268,9404006,4738,4.7,"20"
"892",5,4,56,9405739,9411247,5508,5.5,"0"
"904",5,5,1,9413174,9416520,3346,3.3,"20"
"922",5,5,57,9421836,9426046,4210,4.2,"20"
"934",5,1,5,9427762,9433650,5888,5.9,"20"
"954",5,7,51,9441236,9445722,4486,4.5,"20"
"964",5,1,69,9447438,9452575,5137,5.1,"20"
"974",5,3,23,9454486,9458821,4335,4.3,"20"
"994",5,2,62,9464229,9470517,6288,6.3,"0"
"1003",5,6,42,9472304,9478054,5750,5.8,"0"
"1015",5,5,65,9480032,9484925,4893,4.9,"20"
"1022",5,2,70,9486758,9492153,5395,5.4,"0"
"1034",5,3,15,9493935,9496710,2775,2.8,"20"
"1054",5,2,14,9504116,9507654,3538,3.5,"0"
"1072",5,8,12,9513295,9517855,4560,4.6,"0"
"1092",5,2,78,9522991,9530422,7431,7.4,"0"
"1103",5,6,10,9532250,9539777,7527,7.5,"0"
"1123",5,3,71,9546019,9556760,10741,10.7,"20"
"1133",5,8,36,9558858,9564494,5636,5.6,"0"
"1142",5,6,26,9566260,9574827,8567,8.6,"0"
"1164",5,7,67,9581497,9589271,7774,7.8,"20"
"1172",5,7,11,9591206,9598928,7722,7.7,"20"
"715",6,3,30,10697540,10700444,2904,2.9,"20"
"915",6,5,80,10706383,10708941,2558,2.6,"20"
"1016",6,7,66,10712128,10715050,2922,2.9,"20"
"1112",6,3,78,10719102,10722301,3199,3.2,"20"
"124",6,6,65,10724144,10727207,3063,3.1,"0"
"134",6,4,47,10730559,10732869,2310,2.3,"0"
"145",6,5,40,10735675,10738460,2785,2.8,"20"
"152",6,3,6,10741245,10745096,3851,3.9,"20"
"173",6,7,18,10754487,10756812,2325,2.3,"20"
"192",6,5,24,10763262,10766838,3576,3.6,"20"
"212",6,8,19,10773420,10776763,3343,3.3,"0"
"233",6,8,67,10784682,10787383,2701,2.7,"0"
"243",6,3,62,10790731,10794553,3822,3.8,"20"
"254",6,4,63,10797466,10799861,2395,2.4,"0"
"263",6,5,48,10802940,10806002,3062,3.1,"20"
"275",6,1,20,10809245,10811761,2516,2.5,"20"
"294",6,2,21,10818925,10821071,2146,2.1,"0"
"314",6,6,73,10828924,10832287,3363,3.4,"0"
"323",6,4,7,10836463,10839285,2822,2.8,"0"
"342",6,4,15,10847744,10850751,3007,3,"0"
"365",6,2,5,10861881,10864212,2331,2.3,"0"
"385",6,2,13,10870942,10874248,3306,3.3,"0"
"403",6,8,3,10888195,10890710,2515,2.5,"0"
"423",6,4,55,10902229,10905029,2800,2.8,"0"
"433",6,2,69,10911566,10914240,2674,2.7,"0"
"443",6,8,51,10916695,10919672,2977,3,"0"
"452",6,4,39,10922493,10924677,2184,2.2,"0"
"464",6,2,29,10929416,10932006,2590,2.6,"0"
"484",6,1,12,10945968,10948272,2304,2.3,"20"
"503",6,4,79,10958483,10961063,2580,2.6,"0"
"514",6,7,26,10968391,10970449,2058,2.1,"20"
"535",6,7,34,10980796,10984444,3648,3.6,"20"
"542",6,3,22,11020807,11024064,3257,3.3,"20"
"562",6,3,54,11031539,11034562,3023,3,"20"
"575",6,4,71,11039829,11042314,2485,2.5,"0"
"582",6,3,70,11044293,11047356,3063,3.1,"20"
"594",6,8,11,11049361,11052025,2664,2.7,"0"
"613",6,7,2,11059142,11064023,4881,4.9,"20"
"631",6,6,57,11070106,11075214,5108,5.1,"0"
"644",6,7,10,11086329,11090024,3695,3.7,"20"
"665",6,6,17,11102643,11106391,3748,3.7,"0"
"684",6,1,36,11113698,11117398,3700,3.7,"20"
"692",6,1,60,11120306,11124150,3844,3.8,"20"
"705",6,5,72,11134835,11137341,2506,2.5,"20"
"716",6,6,25,11140638,11143121,2483,2.5,"0"
"733",6,5,64,11150519,11153152,2633,2.6,"20"
"745",6,3,46,11155281,11158900,3619,3.6,"20"
"754",6,1,68,11160716,11163334,2618,2.6,"20"
"762",6,6,49,11166167,11171333,5166,5.2,"0"
"774",6,1,4,11173355,11176681,3326,3.3,"20"
"795",6,2,61,11234944,11238710,3766,3.8,"0"
"802",6,7,42,11242847,11246684,3837,3.8,"20"
"814",6,8,35,11249219,11251897,2678,2.7,"0"
"823",6,1,28,11253979,11257624,3645,3.6,"20"
"844",6,5,16,11264929,11267946,3017,3,"20"
"864",6,4,31,11273951,11277576,3625,3.6,"0"
"884",6,8,75,11286106,11289050,2944,2.9,"0"
"893",6,4,23,11294599,11298008,3409,3.4,"0"
"916",6,2,77,11303204,11308884,5680,5.7,"0"
"923",6,2,45,11310873,11313406,2533,2.5,"0"
"935",6,3,38,11315595,11318419,2824,2.8,"20"
"943",6,1,44,11321490,11324104,2614,2.6,"20"
"955",6,6,1,11326608,11329179,2571,2.6,"0"
"975",6,1,52,11348329,11351112,2783,2.8,"20"
"981",6,1,76,11354844,11358498,3654,3.7,"20"
"995",6,7,50,11397608,11400368,2760,2.8,"20"
"1004",6,6,41,11402825,11405128,2303,2.3,"0"
"1017",6,8,27,11407730,11411663,3933,3.9,"0"
"1035",6,3,14,11418004,11421054,3050,3,"20"
"1055",6,5,8,11433973,11437308,3335,3.3,"20"
"1073",6,2,37,11448128,11450286,2158,2.2,"0"
"1083",6,2,53,11453124,11455894,2770,2.8,"0"
"1093",6,7,74,11472499,11475841,3342,3.3,"20"
"1104",6,8,43,11479700,11482405,2705,2.7,"0"
"1113",6,6,33,11490405,11492510,2105,2.1,"0"
"1124",6,5,56,11540097,11541333,1236,1.2,"20"
"1134",6,5,32,11543724,11545751,2027,2,"20"
"1152",6,6,9,11551656,11554208,2552,2.6,"0"
