"","subject","item","sentcond","questcond","dependnum","starttime","endtime","subresp","correctresp","accuracy","prev","deg","cond"
"191",6,32,5,6,1,11547086,11548896,6,6,1,"orth","20",5
"192",6,9,6,6,1,11555526,11558496,6,6,1,"orth","0",6
"193",7,23,5,7,1,14489834,14492394,7,7,1,"orth","20",5
"194",7,19,1,6,1,14555727,14558898,6,6,1,"valid","20",1
"195",7,10,8,7,1,14578735,14580974,7,7,1,"invalid","0",8
"196",7,12,2,7,1,14590385,14593187,7,7,1,"valid","0",2
"197",7,17,7,6,1,14603705,14605967,6,6,1,"invalid","20",7
"198",7,27,1,7,1,14623530,14625306,7,7,1,"valid","20",1
"199",7,18,8,7,1,14643840,14645367,7,7,1,"invalid","0",8
"200",7,13,3,6,1,14653416,14656221,6,6,1,"phon","20",3
"201",7,9,7,6,1,14716865,14718270,6,6,1,"invalid","20",7
"202",7,8,6,7,1,14739887,14742147,7,7,1,"orth","0",6
"203",7,31,5,7,1,14753524,14754795,7,7,1,"orth","20",5
"204",7,24,6,7,1,14851920,14857986,6,7,0,"orth","0",6
"205",7,28,2,7,1,14937899,14939382,7,7,1,"valid","0",2
"206",7,14,4,6,1,14948423,14950503,7,6,0,"phon","0",4
"207",7,20,2,6,1,14979561,14981632,6,6,1,"valid","0",2
"208",7,6,4,7,1,15039848,15041012,7,7,1,"phon","0",4
"209",7,29,3,6,1,15051347,15052563,6,6,1,"phon","20",3
"210",7,11,1,7,1,15073757,15075322,7,7,1,"valid","20",1
"211",7,26,8,6,1,15084705,15086484,6,6,1,"invalid","0",8
"212",7,16,6,7,1,15106643,15108943,7,7,1,"orth","0",6
"213",7,21,3,6,1,15130590,15132107,6,6,1,"phon","20",3
"214",7,1,7,7,1,15144823,15146609,7,7,1,"invalid","20",7
"215",7,15,5,6,1,15172001,15173445,6,6,1,"orth","20",5
"216",7,22,4,6,1,15183310,15184472,6,6,1,"phon","0",4
"217",7,25,7,7,1,15224748,15226109,7,7,1,"invalid","20",7
"218",7,3,1,6,1,15255142,15256373,6,6,1,"valid","20",1
"219",7,30,4,6,1,15295752,15296710,6,6,1,"phon","0",4
"220",7,2,8,6,1,15318201,15320377,6,6,1,"invalid","0",8
"221",7,7,5,6,1,15342501,15344903,6,6,1,"orth","20",5
"222",7,5,3,7,1,15353626,15355557,7,7,1,"phon","20",3
"223",7,4,2,7,1,15372343,15373495,7,7,1,"valid","0",2
"224",7,32,6,6,1,15382366,15383642,6,6,1,"orth","0",6
"225",8,15,6,6,1,16148205,16150702,6,6,1,"orth","0",6
"226",8,21,4,6,1,16159962,16161793,6,6,1,"phon","0",4
"227",8,18,1,7,1,16195091,16196806,6,7,0,"valid","20",1
"228",8,23,6,7,1,16211889,16213576,7,7,1,"orth","0",6
"229",8,2,1,6,1,16225063,16227772,6,6,1,"valid","20",1
"230",8,24,7,7,1,16237840,16239381,7,7,1,"invalid","20",7
"231",8,3,2,6,1,16256850,16259549,6,6,1,"valid","0",2
"232",8,19,2,6,1,16302567,16308818,6,6,1,"valid","0",2
"233",8,29,4,6,1,16321589,16323674,6,6,1,"phon","0",4
"234",8,1,8,7,1,16331290,16333780,7,7,1,"invalid","0",8
"235",8,25,8,7,1,16343157,16344970,7,7,1,"invalid","0",8
"236",8,5,4,7,1,16352609,16354608,7,7,1,"phon","0",4
"237",8,6,5,7,1,16385767,16387545,7,7,1,"orth","20",5
"238",8,10,1,7,1,16423111,16426666,7,7,1,"valid","20",1
"239",8,32,7,6,1,16451184,16452748,6,6,1,"invalid","20",7
"240",8,11,2,7,1,16460802,16463523,7,7,1,"valid","0",2
"241",8,8,7,7,1,16473566,16475482,7,7,1,"invalid","20",7
"242",8,17,8,6,1,16496077,16497528,6,6,1,"invalid","0",8
"243",8,31,6,7,1,16522690,16526232,7,7,1,"orth","0",6
