"","sub","item","cond","seq","dependnum","start","end","duration_ms","correctresp","subresp","accuracy","deg","prev"
"163",4,30,3,1,1,8529021,8532170,3149,1,1,1,"0","mask"
"164",4,31,4,2,1,8565778,8568932,3154,0,0,1,"20","valid"
"165",4,8,5,3,1,8580257,8588482,8225,0,0,1,"20","orth"
"166",4,26,5,4,1,8601205,8605797,4592,1,1,1,"20","orth"
"167",4,2,5,5,1,8614250,8618548,4298,1,1,1,"20","orth"
"168",4,46,1,6,1,8626386,8629595,3209,0,0,1,"0","valid"
"169",4,21,6,7,1,8645009,8648317,3308,1,1,1,"20","mask"
"170",4,16,1,8,1,8676098,8678906,2808,0,0,1,"0","valid"
"171",4,4,1,9,1,8694247,8696685,2438,0,0,1,"0","valid"
"172",4,22,1,10,1,8706925,8709658,2733,1,0,0,"0","valid"
"173",4,32,5,11,1,8721431,8724345,2914,1,1,1,"20","orth"
"174",4,42,3,12,1,8737646,8740634,2988,1,1,1,"0","mask"
"175",4,5,2,13,1,8751239,8754035,2796,0,0,1,"0","orth"
"176",4,40,1,14,1,8769057,8771976,2919,0,0,1,"0","valid"
"177",4,27,6,15,1,8865056,8868461,3405,0,0,1,"20","mask"
"178",4,3,6,16,1,8880705,8885711,5006,1,1,1,"20","mask"
"179",4,6,3,17,1,8891725,8894611,2886,0,0,1,"0","mask"
"180",4,19,4,18,1,8900694,8906704,6010,1,0,0,"20","valid"
"181",4,38,5,19,1,8939775,8942373,2598,0,0,1,"20","orth"
"182",4,52,1,20,1,8959019,8961479,2460,1,1,1,"0","valid"
"183",4,13,4,21,1,8997326,8999554,2228,1,1,1,"20","valid"
"184",4,28,1,22,1,9012430,9015268,2838,0,0,1,"0","valid"
"185",4,43,4,23,1,9027942,9030169,2227,0,0,1,"20","valid"
"186",4,15,6,24,1,9039399,9042334,2935,1,1,1,"20","mask"
"187",4,18,3,25,1,9090940,9095331,4391,0,0,1,"0","mask"
"188",4,1,4,26,1,9115067,9117255,2188,0,0,1,"20","valid"
"189",4,20,5,27,1,9165111,9168133,3022,1,1,1,"20","orth"
"190",4,7,4,28,1,9182942,9186548,3606,1,1,1,"20","valid"
"191",4,50,5,29,1,9227899,9230164,2265,1,1,1,"20","orth"
"192",4,51,6,30,1,9242332,9244798,2466,0,0,1,"20","mask"
"193",4,36,3,31,1,9253443,9256073,2630,1,1,1,"0","mask"
"194",4,49,4,32,1,9274146,9276532,2386,0,0,1,"20","valid"
"195",4,12,3,33,1,9294453,9297606,3153,0,0,1,"0","mask"
"196",4,11,2,34,1,9309803,9312280,2477,0,0,1,"0","orth"
"197",4,53,2,35,1,9334516,9338105,3589,0,0,1,"0","orth"
"198",4,54,3,36,1,9345074,9347584,2510,1,1,1,"0","mask"
"199",4,37,4,37,1,9378427,9380846,2419,1,0,0,"20","valid"
"200",4,25,4,38,1,9415200,9417347,2147,0,0,1,"20","valid"
"201",4,44,5,39,1,9454200,9458224,4024,1,0,0,"20","orth"
"202",4,35,2,40,1,9469569,9474914,5345,0,1,0,"0","orth"
"203",4,33,6,41,1,9480296,9483075,2779,0,0,1,"20","mask"
"204",4,41,2,42,1,9506624,9509215,2591,0,0,1,"0","orth"
"205",4,34,1,43,1,9538630,9541138,2508,1,1,1,"0","valid"
"206",4,39,6,44,1,9551080,9553622,2542,1,0,0,"20","mask"
"207",4,48,3,45,1,9558368,9562056,3688,0,0,1,"0","mask"
"208",4,45,6,46,1,9571806,9574840,3034,1,1,1,"20","mask"
"209",4,17,2,47,1,9581988,9584873,2885,1,1,1,"0","orth"
"210",4,29,2,48,1,9616246,9619542,3296,1,0,0,"0","orth"
"211",4,14,5,49,1,9646284,9649204,2920,1,1,1,"20","orth"
"212",4,9,6,50,1,9654496,9656971,2475,1,1,1,"20","mask"
"213",4,47,2,51,1,9689929,9693560,3631,1,1,1,"0","orth"
"214",4,23,2,52,1,9703178,9705633,2455,0,0,1,"0","orth"
"215",4,10,1,53,1,9711191,9713354,2163,0,0,1,"0","valid"
"216",4,24,3,54,1,9721571,9723863,2292,0,0,1,"0","mask"
"217",5,10,2,1,1,7479223,7482678,3455,0,0,1,"0","orth"
"218",5,22,2,2,1,7504770,7507591,2821,1,1,1,"0","orth"
"219",5,7,5,3,1,7515554,7519045,3491,1,1,1,"20","orth"
"220",5,53,3,4,1,7535320,7537727,2407,0,0,1,"0","mask"
"221",5,28,2,5,1,7554199,7557181,2982,0,0,1,"0","orth"
"222",5,44,6,6,1,7576951,7579762,2811,1,1,1,"20","mask"
"223",5,41,3,7,1,7587228,7589705,2477,0,0,1,"0","mask"
"224",5,33,1,8,1,7617859,7621013,3154,0,0,1,"0","valid"
"225",5,8,6,9,1,7673569,7676345,2776,0,0,1,"20","mask"
"226",5,36,4,10,1,7682806,7686648,3842,1,1,1,"20","valid"
"227",5,25,5,11,1,7698223,7700580,2357,0,0,1,"20","orth"
"228",5,16,2,12,1,7709422,7711607,2185,0,0,1,"0","orth"
"229",5,27,1,13,1,7718453,7720622,2169,0,0,1,"0","valid"
"230",5,43,5,14,1,7726892,7729321,2429,0,0,1,"20","orth"
"231",5,47,3,15,1,7752131,7754473,2342,1,1,1,"0","mask"
"232",5,15,1,16,1,7803414,7806241,2827,1,1,1,"0","valid"
"233",5,4,2,17,1,7823354,7825590,2236,0,0,1,"0","orth"
"234",5,24,4,18,1,7834743,7838165,3422,0,0,1,"20","valid"
"235",5,26,6,19,1,7869981,7873363,3382,1,1,1,"20","mask"
"236",5,38,6,20,1,7880202,7882468,2266,0,0,1,"20","mask"
"237",5,29,3,21,1,7896951,7901483,4532,1,1,1,"0","mask"
"238",5,11,3,22,1,7925639,7928545,2906,0,0,1,"0","mask"
"239",5,18,4,23,1,7953112,7956153,3041,0,0,1,"20","valid"
"240",5,12,4,24,1,7992472,7995371,2899,0,0,1,"20","valid"
"241",5,50,6,25,1,8004575,8006988,2413,1,1,1,"20","mask"
"242",5,17,3,26,1,8056697,8060187,3490,1,1,1,"0","mask"
"243",5,13,5,27,1,8080066,8082299,2233,1,1,1,"20","orth"
"244",5,39,1,28,1,8101821,8104306,2485,1,1,1,"0","valid"
"245",5,21,1,29,1,8112829,8115878,3049,1,1,1,"0","valid"
"246",5,5,3,30,1,8122129,8125589,3460,0,0,1,"0","mask"
"247",5,3,1,31,1,8165160,8167816,2656,1,1,1,"0","valid"
"248",5,37,5,32,1,8175308,8177913,2605,1,1,1,"20","orth"
"249",5,6,4,33,1,8192329,8195170,2841,0,0,1,"20","valid"
"250",5,45,1,34,1,8202522,8205668,3146,1,1,1,"0","valid"
